8	1	.	like	5.58496
16	0	.	to	7.58496
4	1	.	what	6.58496
.	.	.	timber	7.58496
8	.	.	.	4.58496
16	0	3	I'm	7.58496
=7	=7	=7	=7	=7
16	1	.	sli-	2.58496
16	0	.	-cker	7.58496
16	1	.	than	6.58496
16	0	.	an	7.58496
8	1	.	oi-	5.58496
8	0	.	-l	7.58496
8.	1	.	spill	6.58496
16	0	3	She	7.58496
8	1	.	say	4.58496
16	0	.	she	7.58496
8.	1	.	won't	6.58496
=8	=8	=8	=8	=8
16	1	.	but	2.58496
16	0	.	I	7.58496
8	1	.	bet	6.58496
16	0	.	she	7.58496
8.	1	.	will	5.58496
4.	.	.	.	7.58496
=1	=1	=1	=1	=1
16	1	4	Look	2.58496
16	0	.	up	7.58496
16	1	.	in	6.58496
16	0	.	the	7.58496
8	1	.	sky	5.58496
16	1	3	it's	7.58496
16	0	.	a	6.58496
8	1	.	bird	7.58496
16	1	.	it's	4.58496
16	0	.	a	7.58496
4	1	.	plane	6.58496
=2	=2	=2	=2	=2
16	1	3	Nah	2.58496
16	0	.	it's	7.58496
8	1	.	just	6.58496
8	1	.	me	7.58496
16	1	3	ain't	5.58496
16	0	.	a	7.58496
8	1	.	damn	6.58496
8	1	.	thing	7.58496
4	1	.	changed	4.58496
=3	=3	=3	=3	=3
16	1	3	live	2.58496
8	0	.	in	7.58496
8	1	.	ho-	6.58496
8.	1	.	-tels	7.58496
16	1	3	swing	5.58496
8	0	.	on	7.58496
4	1	.	planes	6.58496
16	.	.	.	7.58496
=4	=4	=4	=4	=4
8	1	3	blessed	2.58496
8	1	.	to	7.58496
8.	1	.	say	6.58496
16	.	.	.	7.58496
16	1	3	mo-	5.58496
16	0	.	-ney	7.58496
16	1	.	ain't	6.58496
16	0	.	a	7.58496
8	1	.	thing	4.58496
8	1	3	club	7.58496
=5	=5	=5	=5	=5
16	1	.	jum-	2.58496
16	0	.	-pin'	7.58496
16	1	.	like	6.58496
16	0	.	Le-	7.58496
8.	1	.	-bron	5.58496
8.	1	.	now	7.58496
8	.	.	.	6.58496
8	1	3	vo-	7.58496
8	0	.	-li	4.58496
=6	=6	=6	=6	=6
16	1	3	or-	2.58496
16	0	.	-der	7.58496
16	1	.	me	6.58496
16	0	.	a-	7.58496
8	1	.	-no-	5.58496
16	0	.	-ther	7.58496
4	1	.	round	6.58496
16	.	.	.	7.58496
8	1	3	ho-	4.58496
8	0	.	-mie	7.58496
=7	=7	=7	=7	=7
8	1	3	we	2.58496
16	0	.	a-	7.58496
8	1	.	-bout	6.58496
16	0	.	to	7.58496
4	1	.	clown	5.58496
8	.	.	.	7.58496
8.	1	3	why	6.58496
16	0	3	'cause	7.58496
=8	=8	=8	=8	=8
8	1	.	it's	2.58496
16	.	.	.	7.58496
16	0	.	a-	6.58496
8	1	.	-bout	7.58496
16	.	.	.	5.58496
16	0	.	to	7.58496
8	1	.	go	6.58496
8	.	.	.	7.58496
4	1	.	down	4.58496
!!!OTL:Timber
!!!RTL:Meltdown
!!!RRD:2013/10/07
!!!RRM:Mr. 305, Polo Grounds, RCA
!!!RC#:Digital
!!!BPP:1
!!!BPD:2014/01/18
!!!COC:Pitbull
!!!COL:Pitbull
!!!COM:Armando Christian Pérez
!!!CDT:1981/01/15->2016/01/
!!!ENC:Nathaniel Condit-Schultz
!!!EED:Nathaniel Condit-Schultz
!!!RDT:2014/-2016/
!!!EST:In progress
=0	=0	=0	=0	=0
2.	.	.	.	2.58496
16	.	.	.	7.58496
8	1	4	seems^	6.58496
8	1	.	like[	7.58496
=1	=1	=1	=1	=1
8	1	.	yes-	2.58496
16	0	.	-ter-	7.58496
16	1	.	-day+	6.58496
16	0	.	we+	7.58496
16	1	.	used	5.58496
16	0	.	to_	7.58496
8	1	.	_rock{	6.58496
16	0	.	the	7.58496
8	1	.	show.	4.58496
8.	.	.	.	7.58496
=2	=2	=2	=2	=2
16	1	3	I+	2.58496
8	1	.	laced^	7.58496
16	0	.	the	6.58496
8	1	.	track.	7.58496
8	1	3	you+	5.58496
8	1	.	locked^	7.58496
16	0	.	the	6.58496
